,Currency,Curve,Close Date,Forward Start Date,Forward Start Date Index,Maturity,Implied
0,AUD,AUD_3M,01/04/1993,02/04/1993,0,1Y,0.05501071
1,AUD,AUD_3M,01/04/1993,02/04/1993,0,2Y,0.06139907
2,AUD,AUD_3M,01/04/1993,16/06/1993,1,1Y,0.057092375
3,AUD,AUD_3M,01/04/1993,16/06/1993,1,2Y,0.063622173
4,AUD,AUD_3M,01/04/1993,15/12/1993,2,1Y,0.064217423
5,AUD,AUD_3M,01/04/1993,15/12/1993,2,2Y,0.070715725
6,AUD,AUD_3M,02/04/1993,05/04/1993,0,1Y,0.054964691
7,AUD,AUD_3M,02/04/1993,05/04/1993,0,2Y,0.061097943
8,AUD,AUD_3M,02/04/1993,16/06/1993,1,1Y,0.056928637
9,AUD,AUD_3M,02/04/1993,16/06/1993,1,2Y,0.063239333
10,AUD,AUD_3M,02/04/1993,15/12/1993,2,1Y,0.063701849
11,AUD,AUD_3M,02/04/1993,15/12/1993,2,2Y,0.070369369
12,AUD,AUD_3M,05/04/1993,06/04/1993,0,1Y,0.055068655
13,AUD,AUD_3M,05/04/1993,06/04/1993,0,2Y,0.061294793
14,AUD,AUD_3M,05/04/1993,16/06/1993,1,1Y,0.05703659
15,AUD,AUD_3M,05/04/1993,16/06/1993,1,2Y,0.06343882
16,AUD,AUD_3M,05/04/1993,15/12/1993,2,1Y,0.063927584
17,AUD,AUD_3M,05/04/1993,15/12/1993,2,2Y,0.070705253
18,AUD,AUD_3M,06/04/1993,07/04/1993,0,1Y,0.054570702
19,AUD,AUD_3M,06/04/1993,07/04/1993,0,2Y,0.060503653
20,AUD,AUD_3M,06/04/1993,16/06/1993,1,1Y,0.056387666
21,AUD,AUD_3M,06/04/1993,16/06/1993,1,2Y,0.062450714
22,AUD,AUD_3M,06/04/1993,15/12/1993,2,1Y,0.063033531
23,AUD,AUD_3M,06/04/1993,15/12/1993,2,2Y,0.069225584
24,AUD,AUD_3M,07/04/1993,08/04/1993,0,1Y,0.053860472
25,AUD,AUD_3M,07/04/1993,08/04/1993,0,2Y,0.059406429
26,AUD,AUD_3M,07/04/1993,16/06/1993,1,1Y,0.055576185
27,AUD,AUD_3M,07/04/1993,16/06/1993,1,2Y,0.061148118
28,AUD,AUD_3M,07/04/1993,15/12/1993,2,1Y,0.062734608
29,AUD,AUD_3M,07/04/1993,15/12/1993,2,2Y,0.06821289
30,AUD,AUD_3M,08/04/1993,09/04/1993,0,1Y,0.054035503
31,AUD,AUD_3M,08/04/1993,09/04/1993,0,2Y,0.059422108
32,AUD,AUD_3M,08/04/1993,16/06/1993,1,1Y,0.055512368
33,AUD,AUD_3M,08/04/1993,16/06/1993,1,2Y,0.061147898
34,AUD,AUD_3M,08/04/1993,15/12/1993,2,1Y,0.061400993
35,AUD,AUD_3M,08/04/1993,15/12/1993,2,2Y,0.067597058
36,AUD,AUD_3M,09/04/1993,12/04/1993,0,1Y,0.054057974
37,AUD,AUD_3M,09/04/1993,12/04/1993,0,2Y,0.059470497
38,AUD,AUD_3M,09/04/1993,16/06/1993,1,1Y,0.055512368
39,AUD,AUD_3M,09/04/1993,16/06/1993,1,2Y,0.061147898
40,AUD,AUD_3M,09/04/1993,15/12/1993,2,1Y,0.061400993
41,AUD,AUD_3M,09/04/1993,15/12/1993,2,2Y,0.067597058
42,AUD,AUD_3M,12/04/1993,13/04/1993,0,1Y,0.054078307
43,AUD,AUD_3M,12/04/1993,13/04/1993,0,2Y,0.059493085
44,AUD,AUD_3M,12/04/1993,16/06/1993,1,1Y,0.055512368
45,AUD,AUD_3M,12/04/1993,16/06/1993,1,2Y,0.061147898
46,AUD,AUD_3M,12/04/1993,15/12/1993,2,1Y,0.061400993
47,AUD,AUD_3M,12/04/1993,15/12/1993,2,2Y,0.067597058
48,AUD,AUD_3M,13/04/1993,14/04/1993,0,1Y,0.053183264
49,AUD,AUD_3M,13/04/1993,14/04/1993,0,2Y,0.058242849
