Currency,Curve,Close Date,Forward Start Date,Forward Start Date Index,Maturity,Implied
AUD,AUD_6M,1993-04-01,1993-04-02,0,3Y,0.068180159
AUD,AUD_6M,1993-04-01,1993-04-02,0,5Y,0.074407928
AUD,AUD_6M,1993-04-01,1993-04-02,0,7Y,0.078203896
AUD,AUD_6M,1993-04-01,1993-04-02,0,10Y,0.08100527
AUD,AUD_6M,1993-04-01,1993-04-02,0,30Y,0.081902915
AUD,AUD_6M,1993-04-01,1993-06-16,1,3Y,0.070258421
AUD,AUD_6M,1993-04-01,1993-06-16,1,5Y,0.075909084
AUD,AUD_6M,1993-04-01,1993-06-16,1,7Y,0.07940376
AUD,AUD_6M,1993-04-01,1993-06-16,1,10Y,0.081845115
AUD,AUD_6M,1993-04-01,1993-06-16,1,30Y,0.08242112
AUD,AUD_6M,1993-04-01,1993-12-15,2,3Y,0.075592539
AUD,AUD_6M,1993-04-01,1993-12-15,2,5Y,0.079736179
AUD,AUD_6M,1993-04-01,1993-12-15,2,7Y,0.08239596099999999
AUD,AUD_6M,1993-04-01,1993-12-15,2,10Y,0.08393689800000001
AUD,AUD_6M,1993-04-01,1993-12-15,2,30Y,0.083713222
AUD,AUD_6M,1993-04-02,1993-04-05,0,3Y,0.068017697
AUD,AUD_6M,1993-04-02,1993-04-05,0,5Y,0.074103026
AUD,AUD_6M,1993-04-02,1993-04-05,0,7Y,0.078000727
AUD,AUD_6M,1993-04-02,1993-04-05,0,10Y,0.080802319
AUD,AUD_6M,1993-04-02,1993-04-05,0,30Y,0.081702716
AUD,AUD_6M,1993-04-02,1993-06-16,1,3Y,0.06997193
AUD,AUD_6M,1993-04-02,1993-06-16,1,5Y,0.075543638
AUD,AUD_6M,1993-04-02,1993-06-16,1,7Y,0.079156775
AUD,AUD_6M,1993-04-02,1993-06-16,1,10Y,0.081604197
AUD,AUD_6M,1993-04-02,1993-06-16,1,30Y,0.082197861
AUD,AUD_6M,1993-04-02,1993-12-15,2,3Y,0.07506267700000001
AUD,AUD_6M,1993-04-02,1993-12-15,2,5Y,0.079377879
AUD,AUD_6M,1993-04-02,1993-12-15,2,7Y,0.082139118
AUD,AUD_6M,1993-04-02,1993-12-15,2,10Y,0.083681838
AUD,AUD_6M,1993-04-02,1993-12-15,2,30Y,0.083480082
AUD,AUD_6M,1993-04-05,1993-04-06,0,3Y,0.068357593
AUD,AUD_6M,1993-04-05,1993-04-06,0,5Y,0.074504394
AUD,AUD_6M,1993-04-05,1993-04-06,0,7Y,0.078800843
AUD,AUD_6M,1993-04-05,1993-04-06,0,10Y,0.081902813
AUD,AUD_6M,1993-04-05,1993-04-06,0,30Y,0.082883644
AUD,AUD_6M,1993-04-05,1993-06-16,1,3Y,0.07027948
AUD,AUD_6M,1993-04-05,1993-06-16,1,5Y,0.075984694
AUD,AUD_6M,1993-04-05,1993-06-16,1,7Y,0.079995875
AUD,AUD_6M,1993-04-05,1993-06-16,1,10Y,0.082727913
AUD,AUD_6M,1993-04-05,1993-06-16,1,30Y,0.083396636
AUD,AUD_6M,1993-04-05,1993-12-15,2,3Y,0.075412468
AUD,AUD_6M,1993-04-05,1993-12-15,2,5Y,0.079996093
AUD,AUD_6M,1993-04-05,1993-12-15,2,7Y,0.083130671
AUD,AUD_6M,1993-04-05,1993-12-15,2,10Y,0.08490186599999999
AUD,AUD_6M,1993-04-05,1993-12-15,2,30Y,0.08474820300000001
AUD,AUD_6M,1993-04-06,1993-04-07,0,3Y,0.067038262
AUD,AUD_6M,1993-04-06,1993-04-07,0,5Y,0.073303468
AUD,AUD_6M,1993-04-06,1993-04-07,0,7Y,0.07750013
AUD,AUD_6M,1993-04-06,1993-04-07,0,10Y,0.080502647
AUD,AUD_6M,1993-04-06,1993-04-07,0,30Y,0.08145047700000001
AUD,AUD_6M,1993-04-06,1993-06-16,1,3Y,0.06885854799999999
AUD,AUD_6M,1993-04-06,1993-06-16,1,5Y,0.07470845200000001
AUD,AUD_6M,1993-04-06,1993-06-16,1,7Y,0.078630227
AUD,AUD_6M,1993-04-06,1993-06-16,1,10Y,0.081279205
